Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2013;49;243;VILLAFERRUEÑA;2;BENAVENTE Y LOS VALLES;1200/01;FRUTALES;MANZANO;;1;;
2013;49;243;VILLAFERRUEÑA;2;BENAVENTE Y LOS VALLES;1200/02;FRUTALES;PERAL;;1;;
2013;49;243;VILLAFERRUEÑA;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;8;;
2013;49;244;VILLAGERIZ;2;BENAVENTE Y LOS VALLES;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;18;;
2013;49;245;VILLALAZAN;6;DUERO BAJO;1200/18;FRUTALES;ALMENDRO;;1;;
2013;49;247;VILLALCAMPO;3;ALISTE;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;89;;
2013;49;248;VILLALOBOS;4;CAMPOS-PAN;1200/01;FRUTALES;MANZANO;;;;1
2013;49;248;VILLALOBOS;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;4;;
2013;49;250;VILLALPANDO;4;CAMPOS-PAN;1200/22;FRUTALES;PISTACHO;1;;;
2013;49;250;VILLALPANDO;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;245;;
2013;49;251;VILLALUBE;4;CAMPOS-PAN;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;3;;
2013;49;252;VILLAMAYOR DE CAMPOS;4;CAMPOS-PAN;1200/01;FRUTALES;MANZANO;;;;1
2013;49;252;VILLAMAYOR DE CAMPOS;4;CAMPOS-PAN;1200/22;FRUTALES;PISTACHO;1;;;
