Año;Codigo Provincia;Codigo Municipio;Municipio;Codigo Comarca;Comarca;codigo producto;grupo de cultivo;cultivo;Superficie Secano que no produce;Superficie Secano en producción;Superficie Regadío que no produce;Superficie Regadío en producción
2014;9;155;HAZA;4;LA RIBERA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;24;372;;
2014;9;160;HONTANGAS;4;LA RIBERA;1200/01;FRUTALES;MANZANO;;;;1
2014;9;160;HONTANGAS;4;LA RIBERA;1200/18;FRUTALES;ALMENDRO;;1;;
2014;9;160;HONTANGAS;4;LA RIBERA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;29;;
2014;9;162;HONTORIA DE LA CANTERA;8;ARLANZON;1200/01;FRUTALES;MANZANO;1;;;
2014;9;164;HONTORIA DE VALDEARADOS;4;LA RIBERA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;2;162;;
2014;9;168;HORRA (LA);4;LA RIBERA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;45;735;;
2014;9;169;HORTIGÜELA;3;DEMANDA;1200/01;FRUTALES;MANZANO;;1;;
2014;9;170;HOYALES DE ROA;4;LA RIBERA;1200/18;FRUTALES;ALMENDRO;;1;;
2014;9;170;HOYALES DE ROA;4;LA RIBERA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;1;55;;
2014;9;172;HUERMECES;7;PARAMOS;1200/19;FRUTALES;NOGAL;1;;;
2014;9;174;HUERTA DEL REY;3;DEMANDA;1200/01;FRUTALES;MANZANO;;;1;1
2014;9;174;HUERTA DEL REY;3;DEMANDA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;33;;
2014;9;177;IBEAS DE JUARROS;8;ARLANZON;1200/01;FRUTALES;MANZANO;1;;;
2014;9;179;IGLESIARRUBIA;5;ARLANZA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;1;1;;
2014;9;181;ISAR;8;ARLANZON;1200/01;FRUTALES;MANZANO;;1;;
2014;9;182;ITERO DEL CASTILLO;6;PISUERGA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;24;;
2014;9;194;LERMA;5;ARLANZA;1200/01;FRUTALES;MANZANO;;;;1
2014;9;194;LERMA;5;ARLANZA;1200/02;FRUTALES;PERAL;;;;1
2014;9;194;LERMA;5;ARLANZA;1200/18;FRUTALES;ALMENDRO;;1;;
2014;9;194;LERMA;5;ARLANZA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;9;214;;
2014;9;194;LERMA;5;ARLANZA;1500/00;VIVEROS;VIVEROS;;;;1
2014;9;195;LLANO DE BUREBA;2;BUREBA-EBRO;1200/01;FRUTALES;MANZANO;;1;;
2014;9;195;LLANO DE BUREBA;2;BUREBA-EBRO;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;1;;
2014;9;196;MADRIGAL DEL MONTE;5;ARLANZA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;3;;
2014;9;197;MADRIGALEJO DEL MONTE;5;ARLANZA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;1;;
2014;9;198;MAHAMUD;5;ARLANZA;1300/02;VIÑEDO OCUPACIÓN PRINCIPAL;VIÑEDO DE UVA VINO;;18;;
